,Arquitetura,FA,Alpha,TA,FV,ACURACIA
96,5,logistic,0.0001,0.001,0.2,0.66667
97,"(5, 7)",tanh,0.0001,0.003,0.2,0.66667
98,"(5, 7)",tanh,0.01,0.001,0.1,0.66667
99,4,tanh,0.01,0.001,0.2,0.66667
100,4,tanh,0.01,0.001,0.1,0.66667
101,"(4, 8)",tanh,0.0001,0.001,0.1,0.66667
102,9,logistic,0.01,0.001,0.2,0.66667
103,9,logistic,0.0001,0.003,0.2,0.66667
104,11,tanh,0.01,0.001,0.1,0.66667
105,11,logistic,0.0001,0.003,0.1,0.66667
106,11,logistic,0.01,0.001,0.2,0.66667
107,11,logistic,0.01,0.003,0.1,0.66667
108,11,tanh,0.0001,0.001,0.2,0.66667
109,"(3, 9)",logistic,0.01,0.001,0.2,0.66667
110,11,tanh,0.0001,0.003,0.2,0.66667
111,11,tanh,0.01,0.001,0.2,0.66667
112,"(3, 9)",logistic,0.0001,0.001,0.2,0.66667
113,11,tanh,0.01,0.003,0.1,0.66667
114,11,tanh,0.01,0.003,0.2,0.66667
115,12,logistic,0.01,0.003,0.2,0.66667
116,12,tanh,0.0001,0.001,0.1,0.66667
117,12,tanh,0.0001,0.003,0.1,0.66667
118,12,tanh,0.01,0.003,0.1,0.66667
119,"(3, 9)",tanh,0.0001,0.001,0.1,0.66667
120,"(3, 9)",tanh,0.0001,0.001,0.2,0.66667
121,10,tanh,0.01,0.003,0.1,0.66667
122,10,tanh,0.01,0.001,0.1,0.66667
123,"(3, 9)",tanh,0.0001,0.003,0.2,0.66667
124,10,tanh,0.0001,0.003,0.1,0.66667
125,10,tanh,0.0001,0.001,0.2,0.66667
126,10,logistic,0.01,0.003,0.2,0.66667
127,10,logistic,0.01,0.001,0.2,0.66667
128,10,logistic,0.01,0.001,0.1,0.66667
129,10,logistic,0.0001,0.003,0.2,0.66667
130,10,logistic,0.0001,0.003,0.1,0.66667
131,"(3, 9)",tanh,0.01,0.003,0.1,0.66667
132,9,tanh,0.01,0.001,0.1,0.66667
133,"(4, 8)",logistic,0.0001,0.001,0.1,0.66667
134,"(4, 8)",logistic,0.0001,0.003,0.1,0.66667
135,9,logistic,0.01,0.003,0.1,0.66667
136,4,tanh,0.0001,0.001,0.2,0.66667
137,"(3, 9)",logistic,0.0001,0.001,0.1,0.66667
138,"(9, 3)",logistic,0.01,0.003,0.1,0.66667
139,"(8, 4)",tanh,0.0001,0.003,0.1,0.66667
140,"(7, 5)",tanh,0.0001,0.003,0.1,0.66667
141,"(8, 4)",tanh,0.01,0.001,0.2,0.66667
142,"(9, 3)",tanh,0.0001,0.003,0.2,0.66667
143,"(9, 3)",tanh,0.0001,0.003,0.1,0.66667
144,3,logistic,0.01,0.003,0.1,0.66667
145,"(7, 5)",tanh,0.01,0.001,0.1,0.66667
146,"(8, 4)",tanh,0.01,0.003,0.1,0.66667
147,3,tanh,0.01,0.001,0.1,0.66667
148,3,tanh,0.01,0.001,0.2,0.66667
149,"(8, 4)",tanh,0.01,0.003,0.2,0.66667
150,3,tanh,0.01,0.003,0.1,0.66667
151,"(7, 5)",tanh,0.01,0.003,0.1,0.66667
152,3,logistic,0.0001,0.001,0.2,0.66667
153,4,logistic,0.01,0.003,0.1,0.66667
154,4,logistic,0.0001,0.001,0.2,0.66667
155,4,logistic,0.0001,0.003,0.1,0.66667
156,3,logistic,0.01,0.001,0.2,0.66667
157,"(6, 6)",tanh,0.01,0.001,0.1,0.66667
158,4,logistic,0.01,0.001,0.2,0.66667
159,3,logistic,0.0001,0.003,0.1,0.66667
160,"(9, 3)",tanh,0.01,0.001,0.1,0.66667
161,"(8, 4)",logistic,0.01,0.003,0.2,0.6
162,"(6, 6)",tanh,0.0001,0.003,0.2,0.6
163,10,logistic,0.01,0.003,0.1,0.6
164,"(8, 4)",logistic,0.01,0.003,0.1,0.6
165,10,logistic,0.0001,0.001,0.2,0.6
166,"(8, 4)",tanh,0.0001,0.003,0.2,0.6
167,"(6, 6)",logistic,0.01,0.003,0.2,0.6
168,"(8, 4)",logistic,0.0001,0.003,0.2,0.6
169,10,logistic,0.0001,0.001,0.1,0.6
170,9,tanh,0.01,0.003,0.2,0.6
171,"(3, 9)",tanh,0.01,0.001,0.2,0.6
172,"(9, 3)",logistic,0.0001,0.001,0.1,0.6
173,"(4, 8)",logistic,0.0001,0.001,0.2,0.6
174,"(9, 3)",logistic,0.0001,0.001,0.2,0.6
175,"(4, 8)",logistic,0.0001,0.003,0.2,0.6
176,"(4, 8)",logistic,0.01,0.001,0.1,0.6
177,"(9, 3)",logistic,0.0001,0.003,0.1,0.6
178,"(9, 3)",logistic,0.0001,0.003,0.2,0.6
179,"(8, 4)",logistic,0.01,0.001,0.2,0.6
180,11,logistic,0.0001,0.003,0.2,0.6
181,"(8, 4)",logistic,0.0001,0.003,0.1,0.6
182,"(8, 4)",logistic,0.0001,0.001,0.2,0.6
183,"(7, 5)",logistic,0.0001,0.001,0.1,0.6
184,"(3, 9)",logistic,0.0001,0.003,0.1,0.6
185,12,tanh,0.01,0.001,0.1,0.6
186,12,tanh,0.0001,0.003,0.2,0.6
187,"(7, 5)",logistic,0.0001,0.001,0.2,0.6
188,"(3, 9)",logistic,0.0001,0.003,0.2,0.6
189,"(7, 5)",logistic,0.0001,0.003,0.1,0.6
190,"(7, 5)",logistic,0.0001,0.003,0.2,0.6
191,12,logistic,0.01,0.003,0.1,0.6
192,12,logistic,0.01,0.001,0.2,0.6
193,12,logistic,0.01,0.001,0.1,0.6
194,12,logistic,0.0001,0.003,0.2,0.6
195,12,logistic,0.0001,0.003,0.1,0.6
196,12,logistic,0.0001,0.001,0.2,0.6
197,"(3, 9)",logistic,0.01,0.001,0.1,0.6
198,"(7, 5)",logistic,0.01,0.001,0.1,0.6
199,"(7, 5)",logistic,0.01,0.001,0.2,0.6
200,"(7, 5)",logistic,0.01,0.003,0.1,0.6
201,"(7, 5)",logistic,0.01,0.003,0.2,0.6
202,"(7, 5)",tanh,0.0001,0.001,0.1,0.6
203,"(7, 5)",tanh,0.0001,0.001,0.2,0.6
204,"(3, 9)",logistic,0.01,0.003,0.1,0.6
205,11,logistic,0.01,0.003,0.2,0.6
206,"(7, 5)",tanh,0.01,0.001,0.2,0.6
207,"(4, 8)",logistic,0.01,0.001,0.2,0.6
208,11,logistic,0.0001,0.001,0.2,0.6
209,"(8, 4)",logistic,0.0001,0.001,0.1,0.6
210,"(9, 3)",logistic,0.01,0.001,0.1,0.6
211,4,logistic,0.01,0.003,0.2,0.6
212,"(9, 3)",logistic,0.01,0.001,0.2,0.6
213,7,logistic,0.0001,0.003,0.1,0.6
214,"(5, 7)",logistic,0.0001,0.001,0.1,0.6
215,"(5, 7)",logistic,0.0001,0.001,0.2,0.6
216,"(5, 7)",logistic,0.0001,0.003,0.1,0.6
217,"(5, 7)",logistic,0.0001,0.003,0.2,0.6
218,3,logistic,0.01,0.003,0.2,0.6
219,"(6, 6)",tanh,0.01,0.003,0.2,0.6
220,6,logistic,0.01,0.001,0.1,0.6
221,6,logistic,0.0001,0.003,0.2,0.6
222,"(6, 6)",logistic,0.0001,0.003,0.1,0.6
223,3,tanh,0.0001,0.001,0.2,0.6
224,6,logistic,0.0001,0.001,0.1,0.6
225,"(5, 7)",logistic,0.01,0.001,0.2,0.6
226,"(5, 7)",logistic,0.01,0.003,0.1,0.6
227,"(5, 7)",logistic,0.01,0.003,0.2,0.6
228,"(6, 6)",logistic,0.0001,0.001,0.2,0.6
229,5,tanh,0.0001,0.003,0.2,0.6
230,"(6, 6)",logistic,0.0001,0.001,0.1,0.6
231,5,logistic,0.01,0.003,0.2,0.6
232,"(5, 7)",tanh,0.01,0.003,0.2,0.6
233,4,logistic,0.0001,0.001,0.1,0.6
234,5,logistic,0.0001,0.003,0.2,0.6
235,5,logistic,0.0001,0.003,0.1,0.6
236,4,logistic,0.0001,0.003,0.2,0.6
237,4,tanh,0.01,0.003,0.1,0.6
238,4,logistic,0.01,0.001,0.1,0.6
239,7,logistic,0.0001,0.001,0.2,0.6
240,7,logistic,0.0001,0.001,0.1,0.6
241,"(6, 6)",logistic,0.0001,0.003,0.2,0.6
242,"(4, 8)",tanh,0.01,0.001,0.1,0.6
243,9,logistic,0.0001,0.001,0.1,0.6
244,"(4, 8)",logistic,0.01,0.003,0.1,0.6
245,"(4, 8)",logistic,0.01,0.003,0.2,0.6
246,8,tanh,0.01,0.001,0.2,0.6
247,"(4, 8)",tanh,0.0001,0.001,0.2,0.6
248,"(9, 3)",logistic,0.01,0.003,0.2,0.6
249,"(4, 8)",tanh,0.0001,0.003,0.1,0.6
250,"(6, 6)",logistic,0.01,0.003,0.1,0.6
251,8,logistic,0.01,0.003,0.2,0.6
252,8,logistic,0.01,0.003,0.1,0.6
253,8,logistic,0.01,0.001,0.2,0.6
254,"(6, 6)",logistic,0.01,0.001,0.2,0.6
255,8,logistic,0.0001,0.003,0.2,0.6
256,8,logistic,0.0001,0.001,0.1,0.6
257,7,tanh,0.01,0.001,0.2,0.6
258,"(6, 6)",logistic,0.01,0.001,0.1,0.6
259,"(9, 3)",tanh,0.01,0.003,0.1,0.6
260,"(9, 3)",tanh,0.01,0.003,0.2,0.6
261,3,logistic,0.0001,0.001,0.1,0.6
262,7,logistic,0.01,0.003,0.2,0.6
263,7,logistic,0.01,0.001,0.2,0.6
264,3,logistic,0.0001,0.003,0.2,0.6
265,6,logistic,0.01,0.003,0.2,0.6
266,9,logistic,0.01,0.001,0.1,0.53333
267,6,logistic,0.01,0.001,0.2,0.53333
268,6,tanh,0.01,0.001,0.2,0.53333
269,"(3, 9)",tanh,0.0001,0.003,0.1,0.53333
270,4,tanh,0.0001,0.003,0.2,0.53333
271,"(5, 7)",logistic,0.01,0.001,0.1,0.46667
272,"(8, 4)",logistic,0.01,0.001,0.1,0.46667
