Year,1,2,3,4,5,6,7,8,9,10,11,12
2004,0.35,0.16,-0.09,-0.33,-0.19,-0.14,0.03,0.18,0.3,0.11,0.22,0.39
2005,0.55,0.43,0.53,0.22,-0.13,-0.32,-0.37,-0.03,-0.12,-0.03,-0.09,-0.06
2006,-0.02,0.17,0.33,0.24,0.17,0.35,0.25,0.29,0.24,0.2,0.06,0.28
2007,0.18,0.15,-0.04,0.17,0.21,0.37,0.18,0.11,0.24,0.08,0.08,0.16
2008,0.13,0.3,0.52,0.57,0.75,0.64,0.61,0.47,0.25,0.24,0.29,0.37
2009,0.39,0.29,0.46,0.45,0.72,0.53,0.34,0.2,0.16,0.42,0.28,0.66
2010,0.73,0.62,0.81,0.61,0.55,0.79,0.55,0.44,0.2,0.4,0.38,0.37
2011,0.39,0.53,0.64,0.42,0.23,0.14,0.22,0.16,0.21,0.25,-0.07,-0.52
2012,-0.38,-0.57,-0.16,-0.4,-0.11,-0.02,-0.08,-0.12,-0.01,-0.0,0.01,0.14
2013,0.33,0.19,0.18,0.28,0.41,0.22,0.18,0.21,0.0,0.01,-0.09,0.07
2014,0.05,0.16,0.14,0.16,0.41,0.41,0.12,0.2,0.23,0.13,-0.34,-0.16
2015,0.37,0.36,0.15,0.29,0.39,0.32,0.02,-0.15,-0.07,0.25,0.35,0.66
